smiles0,smiles1,charge0,charge1,natoms0,natoms1,system_id,group_orig,group_id,k_index,geom_id,cc_basis,cc_HF,cc_MP2_os,cc_MP2_ss,cc_CCSD_os,cc_CCSD_ss,cc_(T),cc_[T],cc_MP2_all,cc_CCSD(T)_all,cc_delta_CCSD(T),qz_HF,qz_MP2_os,qz_MP2_ss,qz_MP2_all,tz_HF,tz_MP2_os,tz_MP2_ss,tz_MP2_all,cbs_MP2_os,cbs_MP2_ss,cbs_MP2_all,cbs_CCSD(T)_all,espx_HF_es,espx_HF_hl,espx_HF_ovl,espx_MP2_es,espx_MP2_ovl,sapt_es,sapt_ex,sapt_exs2,sapt_ind,sapt_exind,sapt_disp,sapt_exdisp_os,sapt_exdisp_ss,sapt_delta_HF,sapt_all,nn_CCSD(T)_all,nn_CCSD(T)_all_05,nn_CCSD(T)_all_95,xyz,elements,reference,system_name
O,O,0,0,3,3,11056,S66x8,3057617,-10,66871604,avqz,-2.8887400000000003,-0.5653100000000001,-1.07954,-0.19479,-1.17001,-0.30229,-0.30071,-4.53359,-4.55583,-0.02224,-2.8887400000000003,-0.5653100000000001,-1.07954,-4.53359,-2.85029,-0.42074,-1.04614,-4.31717,-0.67082,-1.10392,-4.6634699999999984,-4.68571,-10.73901,0.77913,0.06795,-10.68529,0.07558,-10.75507,11.01559,10.89698,-2.5512,1.23794,-2.9298900000000003,0.17269,0.21945,-1.89123,-5.48171,-4.6553900000000015,-4.72031,-4.58798,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.06777 0.02792 0.00098 2.44439 -0.41046 0.7671 2.44004 -0.44829 -0.74442,O H H O H H,-4.61,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,-5,66871605,avqz,-3.49798,-0.45142,-0.8829299999999999,-0.15442,-0.9654,-0.25384,-0.25208,-4.83234,-4.87165,-0.039310000000000005,-3.49798,-0.45142,-0.8829299999999999,-4.83234,-3.4595300000000004,-0.33608000000000005,-0.8558399999999999,-4.65145,-0.5355800000000001,-0.90271,-4.93627,-4.97558,-8.853660000000003,-0.88279,0.04987,-8.75915,0.05626,-8.87278,7.57828,7.51927,-1.76506,0.74353,-2.32305,0.11982,0.16134,-1.2224700000000002,-5.58039,-4.94562,-4.99999,-4.88928,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.16841 0.02713 0.00074 2.54503 -0.41125 0.76687 2.54068 -0.44908 -0.74466,O H H O H H,-4.912,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,0,66871606,avqz,-3.75955,-0.3571,-0.72158,-0.11884000000000003,-0.7957,-0.2115,-0.20965,-4.83823,-4.8855900000000005,-0.04736,-3.75955,-0.3571,-0.72158,-4.83823,-3.72539,-0.26482,-0.69963,-4.68984,-0.42443,-0.7376,-4.92159,-4.96895,-7.39005,-1.87807,0.03648,-7.2648,0.041760000000000005,-7.406630000000002,5.21461,5.18534,-1.253,0.4512,-1.85033,0.08249,0.119,-0.8003100000000001,-5.44297,-4.94326,-4.9875099999999986,-4.89818,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.26888 0.02634 0.00051 2.6455 -0.41204 0.76663 2.64115 -0.44987 -0.74489,O H H O H H,-4.915,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,5,66871607,avqz,-3.79977,-0.27931,-0.58926,-0.08782000000000001,-0.6551,-0.17488,-0.17299,-4.66834,-4.7175699999999985,-0.04924,-3.79977,-0.27931,-0.58926,-4.66834,-3.77244,-0.20521,-0.5715100000000001,-4.54916,-0.33338,-0.6022,-4.73536,-4.7846,-6.23798,-2.43379,0.02658,-6.09122,0.03089,-6.2507199999999985,3.5893900000000003,3.57491,-0.91055,0.27687,-1.47933,0.05637,0.08761000000000001,-0.5405399999999999,-5.1709,-4.76219,-4.80302,-4.72084,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.36955 0.02555 0.00027 2.74617 -0.41283 0.7664 2.74181 -0.45066 -0.74513,O H H O H H,-4.739,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,10,66871608,avqz,-3.70337,-0.21566,-0.48134,-0.061120000000000015,-0.53935,-0.14365999999999998,-0.14174,-4.40036,-4.44749,-0.04713,-3.70337,-0.21566,-0.48134,-4.40036,-3.68334,-0.15583,-0.46701,-4.30617,-0.25932,-0.49179,-4.45448,-4.50161,-5.32422,-2.70041,0.01931,-5.163869999999998,0.0228,-5.33367,2.47815,2.47097,-0.6763899999999999,0.17190999999999998,-1.18803,0.038360000000000005,0.06421,-0.38364,-4.82912,-4.4859,-4.52506,-4.44715,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.47012 0.02476 4e-05 2.84674 -0.41362 0.76616 2.84238 -0.45145 -0.74537,O H H O H H,-4.462,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,25,66871609,avqz,-3.0755,-0.0871,-0.26315,-0.00297,-0.30194,-0.07651000000000001,-0.07454,-3.42575,-3.45692,-0.031160000000000007,-3.0755,-0.0871,-0.26315,-3.42575,-3.07094,-0.054179999999999985,-0.25558000000000003,-3.3807,-0.11113,-0.26867,-3.4553,-3.48647,-3.5058,-2.64862,0.00729,-3.33714,0.00905,-3.51132,0.8391700000000001,0.8382799999999999,-0.30721,0.0425,-0.63216,0.01198,0.02393,-0.18564,-3.71876,-3.4773400000000003,-3.50665,-3.4488300000000005,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 2.77182 0.02239 -0.00067 3.14844 -0.41599 0.76545 3.14409 -0.45382 -0.74607,O H H O H H,-3.46,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,50,66871610,avqz,-2.01059,0.00581,-0.09735,0.04113,-0.11783,-0.02242,-0.02032,-2.1021400000000003,-2.10971,-0.00757,-2.01059,0.00581,-0.09735,-2.1021400000000003,-2.01609,0.02121,-0.0942,-2.08908,-0.00544,-0.09965,-2.11568,-2.12325,-2.01309,-1.88066,0.0014,-1.87549,0.00191,-2.01709,0.15442,0.15439,-0.10472,0.00426,-0.24369,0.00178,0.00383,-0.07687000000000001,-2.27809,-2.12053,-2.13641,-2.1052,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 3.27466 0.01845 -0.00185 3.65128 -0.41993 0.76428 3.64692 -0.45776 -0.74725,O H H O H H,-2.108,1_WaterWater
O,O,0,0,3,3,11056,S66x8,3057617,100,66871611,avqz,-0.89995,0.03594,-0.01196,0.0457,-0.02024,0.0033,0.00524,-0.87597,-0.8712,0.00477,-0.89995,0.03594,-0.01196,-0.87597,-0.90194,0.04254,-0.01064,-0.87003,0.03113,-0.01293,-0.88176,-0.8769899999999999,-0.88028,-0.8771,5e-05,-0.80504,9e-05,-0.88175,0.0054,0.0054,-0.02021,9e-05,-0.05156,4e-05,0.0001,-0.01376,-0.96165,-0.87536,-0.8821100000000001,-0.86851,-0.7022 -0.05606 0.00994 -1.02219 0.84678 -0.01149 0.25752 0.04212 0.00522 4.28034 0.01056 -0.0042 4.65696 -0.42782 0.76192 4.6526 -0.46566 -0.74961,O H H O H H,-0.871,1_WaterWater
CO,O,0,0,6,3,15449,S66x8,3057611,-10,66871556,avtz,-2.71659,-0.80581,-1.4505,-0.29016,-1.5065,-0.39079,-0.39765,-4.97291,-4.90404,0.06887,-2.75589,-0.97594,-1.49072,-5.22255,-2.71659,-0.80581,-1.4505,-4.97291,-1.10008,-1.52007,-5.37605,-5.307180000000002,-12.18504,1.76741,0.08064,-12.32818,0.09059,-12.21811,13.49474,13.3262,-3.55462,1.93717,-3.9658,0.23807,0.31846,-2.4904,-6.2405,-5.32178,-5.4033,-5.23358,2.62978 -0.425 -1.20185 2.16478 0.04663 0.06031 2.19897 0.2261 -1.95496 3.71575 -0.3742 -1.27616 2.30144 -1.44486 -1.40093 2.53276 -0.52544 0.73784 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-5.232,2_WaterMeOH
CO,O,0,0,6,3,15449,S66x8,3057611,-5,66871557,avtz,-3.44905,-0.68053,-1.21182,-0.25881,-1.26519,-0.33585,-0.34195,-5.3414,-5.3089,0.0325,-3.48998,-0.8175100000000001,-1.24469,-5.55219,-3.44905,-0.68053,-1.21182,-5.3414,-0.91747,-1.26869,-5.67614,-5.64364,-9.99096,-0.23272,0.059779999999999986,-10.07084,0.06817999999999999,-10.0311,9.40761,9.32173,-2.48464,1.22412,-3.19469,0.1689,0.23527,-1.66375,-6.33828,-5.6497199999999985,-5.7165599999999985,-5.57915,2.72762 -0.42573 -1.19441 2.26261 0.0459 0.06775 2.2968 0.22537 -1.94752 3.81358 -0.37493 -1.26872 2.39927 -1.4456 -1.39349 2.63059 -0.52617 0.74528 -0.52533 -0.05097 -0.31452 -0.94201 0.7479 0.01125 0.4037 0.05979 -0.07357,C O H H H H O H H,-5.5779999999999985,2_WaterMeOH
